"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3561","test_create_courier_no_login_error","","2026-05-01","passed","2026-05-01","TestCreateCourier","test_create_courier","",""
"","61481","test_login_without_password_field_error","","2026-05-01","skipped","2026-05-01","TestLoginCourier","test_login_courier","",""
"","4569","test_login_wrong_password_error","","2026-05-01","passed","2026-05-01","TestLoginCourier","test_login_courier","",""
"","15422","test_get_orders_list_returns_list","","2026-05-01","passed","2026-05-01","TestGetOrders","test_get_orders","",""
"","1986","test_login_without_login_field_error","","2026-05-01","passed","2026-05-01","TestLoginCourier","test_login_courier","",""
"","5813","test_login_wrong_login_error","","2026-05-01","passed","2026-05-01","TestLoginCourier","test_login_courier","",""
"","2307","test_create_duplicate_courier_error","","2026-05-01","skipped","2026-05-01","TestCreateCourier","test_create_courier","",""
"","5702","test_login_success","","2026-05-01","passed","2026-05-01","TestLoginCourier","test_login_courier","",""
"","1797","test_login_non_existent_user_error","","2026-05-01","passed","2026-05-01","TestLoginCourier","test_login_courier","",""
"","1909","test_create_order_with_different_colors[color0]","","2026-05-01","passed","2026-05-01","TestCreateOrder","test_create_order","",""
"","2203","test_create_order_with_different_colors[color3]","","2026-05-01","passed","2026-05-01","TestCreateOrder","test_create_order","",""
"","2709","test_create_courier_success","","2026-05-01","passed","2026-05-01","TestCreateCourier","test_create_courier","",""
"","2991","test_create_courier_no_password_error","","2026-05-01","passed","2026-05-01","TestCreateCourier","test_create_courier","",""
"","1841","test_create_order_with_different_colors[color2]","","2026-05-01","passed","2026-05-01","TestCreateOrder","test_create_order","",""
"","1867","test_create_order_with_different_colors[color1]","","2026-05-01","passed","2026-05-01","TestCreateOrder","test_create_order","",""
